0.42 0.510 0.250 436.685 467.013 -3.356 418.829 469.476 -5.702
0.42 0.510 0.260 436.505 467.082 -3.384 418.884 469.525 -5.700
0.42 0.510 0.270 436.319 467.157 -3.413 418.946 469.578 -5.698
0.42 0.510 0.280 436.129 467.236 -3.443 419.017 469.634 -5.696
0.42 0.510 0.290 435.936 467.320 -3.475 419.097 469.694 -5.693
0.42 0.510 0.300 435.741 467.408 -3.506 419.186 469.757 -5.689
0.42 0.510 0.310 435.546 467.502 -3.539 419.285 469.823 -5.684
0.42 0.510 0.320 435.353 467.600 -3.571 419.395 469.893 -5.678
0.42 0.510 0.330 435.162 467.702 -3.604 419.516 469.966 -5.672
0.42 0.510 0.340 434.976 467.809 -3.637 419.648 470.042 -5.664
0.42 0.510 0.350 434.795 467.920 -3.670 419.792 470.121 -5.655
0.42 0.510 0.360 434.621 468.035 -3.702 419.948 470.202 -5.646
0.42 0.510 0.370 434.455 468.154 -3.734 420.117 470.287 -5.635
0.42 0.510 0.380 434.298 468.277 -3.765 420.297 470.373 -5.622
0.42 0.510 0.390 434.151 468.403 -3.795 420.491 470.463 -5.609
0.42 0.510 0.400 434.015 468.532 -3.824 420.697 470.554 -5.594
0.42 0.510 0.410 433.891 468.664 -3.853 420.915 470.648 -5.578
0.42 0.510 0.420 433.779 468.799 -3.880 421.146 470.744 -5.561
0.42 0.510 0.430 433.680 468.936 -3.906 421.389 470.841 -5.542
0.42 0.510 0.440 433.595 469.076 -3.931 421.644 470.940 -5.523
0.42 0.510 0.450 433.523 469.219 -3.954 421.911 471.041 -5.502
0.42 0.510 0.460 433.465 469.363 -3.976 422.190 471.143 -5.480
0.42 0.510 0.470 433.421 469.509 -3.997 422.479 471.246 -5.457
0.42 0.520 0.000 438.651 466.900 -3.120 418.583 469.436 -5.727
0.42 0.520 0.010 438.651 466.900 -3.120 418.583 469.436 -5.727
0.42 0.520 0.020 438.651 466.900 -3.120 418.583 469.436 -5.727
0.42 0.520 0.030 438.650 466.900 -3.120 418.583 469.436 -5.727
0.42 0.520 0.040 438.649 466.900 -3.120 418.584 469.437 -5.727
0.42 0.520 0.050 438.646 466.901 -3.120 418.584 469.437 -5.727
0.42 0.520 0.060 438.641 466.902 -3.121 418.584 469.438 -5.727
0.42 0.520 0.070 438.634 466.905 -3.122 418.585 469.440 -5.727
0.42 0.520 0.080 438.622 466.908 -3.124 418.586 469.442 -5.727
0.42 0.520 0.090 438.605 466.913 -3.126 418.587 469.446 -5.727
0.42 0.520 0.100 438.582 466.920 -3.130 418.589 469.451 -5.727
0.42 0.520 0.110 438.552 466.929 -3.134 418.592 469.457 -5.728
0.42 0.520 0.120 438.514 466.940 -3.139 418.596 469.466 -5.728
0.42 0.520 0.130 438.467 466.955 -3.146 418.600 469.476 -5.729
0.42 0.520 0.140 438.410 466.972 -3.155 418.606 469.488 -5.729
